temperatura;amonia;idade;peso;sexo;fotoperiodo;ruido;luz;umidade;infeccoes;animais_por_gaiola;risco
38;11;28;332;0;10;67;161;79;1;2;5
34;15;666;26;1;16;22;263;4;0;1;5
24;15;386;376;0;16;41;151;94;1;2;5
38;9;544;401;0;16;50;64;92;0;2;6
29;17;563;163;0;12;16;261;20;1;3;5
36;21;499;500;1;16;56;66;73;1;3;5
30;14;45;98;1;15;22;253;1;0;3;5
32;13;601;101;0;13;50;182;44;1;2;7
23;14;672;463;0;14;46;97;91;1;2;7
29;26;673;60;0;13;45;119;45;1;3;5
34;13;197;491;0;11;56;219;84;1;4;5
27;22;207;81;1;16;40;125;74;1;3;5
39;29;658;270;1;15;49;280;19;0;3;5
21;29;556;496;1;13;43;131;63;0;2;5
29;11;644;179;1;14;24;81;18;1;5;5
39;20;515;385;1;12;55;89;54;1;4;5
29;20;684;409;1;16;74;239;88;1;2;7
29;28;56;302;1;13;60;111;45;1;3;5
36;17;130;89;0;12;29;295;97;0;5;4
20;10;110;191;1;12;62;250;76;0;5;6
24;30;590;88;0;12;48;178;28;0;5;6
37;21;405;452;0;10;27;60;78;0;3;5
36;18;544;472;0;12;57;194;38;1;3;5
25;11;266;121;1;12;55;75;26;0;4;5
30;14;313;168;1;15;63;157;100;1;1;6
27;26;550;468;0;13;63;278;69;0;4;5
29;21;375;394;0;16;75;208;41;0;4;5
29;17;70;246;1;13;50;148;33;0;2;5
22;18;705;138;0;14;33;103;25;1;2;5
40;16;669;77;0;13;12;134;15;0;2;6
26;23;72;205;1;14;12;103;19;1;3;5
21;25;82;280;1;15;48;195;67;1;5;6
21;17;561;366;1;16;22;133;23;0;2;5
35;12;120;144;0;10;24;204;28;1;2;6
34;27;97;54;1;12;35;97;81;1;3;5
36;19;234;84;1;13;30;118;93;0;4;6
22;19;551;444;1;15;26;184;95;0;3;6
39;15;478;30;1;13;35;62;67;1;5;7
25;10;236;213;0;10;42;117;17;0;5;4
25;15;97;394;1;10;61;273;55;0;5;5
40;29;383;285;1;15;54;198;21;1;3;5
29;30;666;448;1;15;10;115;76;1;5;4
25;16;516;294;0;15;35;91;83;0;4;6
27;28;135;174;1;11;40;127;3;1;2;5
26;19;511;66;1;15;72;269;7;0;4;5
23;30;497;381;1;13;62;113;18;0;3;4
30;23;334;496;1;12;55;145;85;1;1;5
33;12;656;208;1;16;35;227;39;0;2;5
27;29;22;156;0;15;35;157;100;1;5;5
29;21;562;254;0;14;18;104;25;1;3;5
21;20;318;226;0;11;17;238;31;0;4;5
34;9;493;404;0;14;53;155;92;1;1;6
32;28;649;352;0;14;71;209;79;1;4;6
28;26;280;198;0;10;41;181;55;1;3;5
22;12;345;369;1;12;32;137;22;1;5;6
37;30;432;286;1;16;61;236;44;1;1;5
39;21;247;275;1;10;14;242;27;0;2;5
28;9;191;109;1;15;57;72;48;1;4;5
35;22;323;445;0;10;54;271;35;1;1;5
26;30;156;438;1;15;19;89;15;0;3;6
32;14;374;176;0;13;36;186;76;0;5;5
31;20;447;172;0;11;16;219;12;1;5;5
27;19;96;221;0;13;34;194;36;1;5;7
35;30;531;481;1;11;15;161;27;1;5;5
29;13;94;215;1;12;53;230;3;1;2;5
22;10;124;314;1;16;15;165;78;0;1;5
32;13;387;359;1;13;35;241;74;1;3;5
32;11;71;385;1;13;39;79;56;0;1;5
21;11;727;124;1;10;78;188;13;1;5;5
25;27;45;109;0;11;31;285;87;1;1;6
30;10;707;55;0;16;77;72;84;0;2;6
35;13;423;427;0;14;14;135;67;0;4;5
26;22;146;164;1;16;58;169;27;0;1;5
30;25;31;184;1;12;18;153;35;0;1;4
25;30;183;125;0;13;26;180;59;0;4;5
33;18;536;172;1;10;51;218;68;0;2;5
20;13;153;136;1;15;54;122;59;0;4;5
33;30;222;376;1;10;19;127;50;1;2;6
27;15;534;41;1;12;37;93;57;0;2;5
38;10;568;484;1;13;41;167;51;0;4;4
34;26;52;12;0;15;48;109;93;1;3;5
32;29;27;59;0;15;14;280;44;0;5;5
38;12;63;308;1;13;17;272;53;0;5;5
34;20;547;438;1;12;69;154;96;0;4;5
35;10;365;382;1;15;17;155;99;1;1;6
34;17;65;492;1;13;32;201;2;0;1;5
27;11;630;200;1;15;36;230;57;1;1;6
20;13;197;255;0;13;50;221;42;1;3;5
40;16;160;155;1;16;10;220;96;0;2;5
32;20;290;235;1;16;74;151;26;1;2;5
40;19;457;115;0;16;71;91;76;1;5;5
37;18;65;116;0;16;17;237;20;0;1;6
33;27;455;499;1;13;35;241;9;1;1;5
29;15;113;41;1;15;46;210;86;1;5;5
34;12;401;478;1;13;46;190;74;0;4;4
26;16;352;263;0;11;54;188;94;1;5;6
24;30;347;427;0;16;38;114;74;1;4;5
25;25;728;463;0;15;48;281;67;0;4;5
28;30;564;133;0;15;18;91;2;0;1;5
36;26;325;92;1;11;67;292;12;0;3;6
26;16;26;140;0;14;79;66;18;1;2;6
