temperatura,amonia,idade,peso,sexo,fotoperiodo,ruido,luz,umidade,infeccoes,animais_por_gaiola,risco,linhagem
38,11,28,332,0,10,67,161,79,1,2,3,0
34,15,666,26,1,16,22,263,4,0,1,3,0
24,15,386,376,0,16,41,151,94,1,2,3,0
29,17,563,163,0,12,16,261,20,1,3,3,0
36,21,499,500,1,16,56,66,73,1,3,3,0
30,14,45,98,1,15,22,253,1,0,3,3,0
29,26,673,60,0,13,45,119,45,1,3,3,0
34,13,197,491,0,11,56,219,84,1,4,3,0
27,22,207,81,1,16,40,125,74,1,3,3,0
39,29,658,270,1,15,49,280,19,0,3,3,0
21,29,556,496,1,13,43,131,63,0,2,3,0
29,11,644,179,1,14,24,81,18,1,5,3,0
39,20,515,385,1,12,55,89,54,1,4,3,0
29,28,56,302,1,13,60,111,45,1,3,3,0
36,17,130,89,0,12,29,295,97,0,5,3,0
37,21,405,452,0,10,27,60,78,0,3,3,0
36,18,544,472,0,12,57,194,38,1,3,3,0
25,11,266,121,1,12,55,75,26,0,4,3,0
27,26,550,468,0,13,63,278,69,0,4,3,0
29,21,375,394,0,16,75,208,41,0,4,3,0
29,17,70,246,1,13,50,148,33,0,2,3,0
22,18,705,138,0,14,33,103,25,1,2,3,0
26,23,72,205,1,14,12,103,19,1,3,3,0
21,17,561,366,1,16,22,133,23,0,2,3,0
34,27,97,54,1,12,35,97,81,1,3,3,0
25,10,236,213,0,10,42,117,17,0,5,3,0
25,15,97,394,1,10,61,273,55,0,5,3,0
40,29,383,285,1,15,54,198,21,1,3,3,0
29,30,666,448,1,15,10,115,76,1,5,3,0
27,28,135,174,1,11,40,127,3,1,2,3,0
26,19,511,66,1,15,72,269,7,0,4,3,0
23,30,497,381,1,13,62,113,18,0,3,3,0
30,23,334,496,1,12,55,145,85,1,1,3,0
33,12,656,208,1,16,35,227,39,0,2,3,0
27,29,22,156,0,15,35,157,100,1,5,3,0
29,21,562,254,0,14,18,104,25,1,3,3,0
21,20,318,226,0,11,17,238,31,0,4,3,0
