temperatura;amonia;idade;peso;sexo;fotoperiodo;ruido;luz;umidade;infeccoes;animais_por_gaiola;risco
28;20;540;269;0;15;49;145;16;1;4;5
34;12;202;202;0;10;49;152;81;0;4;5
27;23;233;187;1;10;26;260;17;0;3;5
27;9;91;346;1;11;45;274;48;1;3;6
24;14;634;373;0;13;32;292;41;1;4;5
20;22;528;152;1;13;35;297;70;0;2;5
36;27;105;37;0;12;47;131;88;1;3;5
24;19;659;141;1;15;26;199;76;1;4;7
35;25;115;66;1;16;77;79;7;1;5;7
26;28;120;178;1;15;64;246;81;0;4;5
31;19;481;208;1;15;61;235;14;0;3;5
39;30;695;386;0;10;19;143;53;0;2;5
28;14;322;81;0;15;53;64;90;1;1;5
35;12;711;310;0;10;54;242;56;1;1;5
40;13;408;465;0;14;17;112;18;0;2;5
27;22;221;495;0;11;24;126;71;1;1;5
40;27;446;382;0;16;61;126;38;1;4;7
22;19;190;11;0;11;31;277;39;1;3;5
31;28;90;212;1;13;71;263;67;1;3;4
23;20;630;68;0;12;80;221;4;0;2;6
22;16;718;244;0;13;34;280;26;1;4;6
31;16;317;189;1;14;59;70;68;0;3;5
26;15;685;185;0;16;60;166;2;1;1;5
21;11;694;56;1;11;40;196;68;0;5;5
23;30;223;72;0;11;66;133;9;0;2;6
20;30;686;117;0;11;78;241;99;0;3;5
23;29;319;103;0;11;68;199;72;1;3;5
36;19;430;41;0;11;54;148;81;0;5;5
38;14;213;155;0;14;12;82;90;1;3;5
35;13;304;494;1;14;73;117;48;1;4;6
20;20;125;195;0;13;39;87;52;1;4;5
33;16;697;474;0;15;17;193;17;0;5;6
38;15;609;487;0;10;48;66;28;1;1;5
32;22;483;356;0;14;26;103;97;1;2;6
33;25;659;449;1;12;36;78;90;0;3;5
28;16;128;95;1;16;64;66;57;1;5;6
26;15;620;496;0;10;45;189;72;1;1;6
30;14;451;109;0;13;61;256;87;0;4;7
32;13;659;49;0;14;66;163;0;1;5;4
29;12;257;96;0;10;66;236;26;0;5;5
24;19;40;397;1;15;68;287;70;1;1;5
27;13;500;444;1;13;66;191;94;1;3;4
36;30;704;339;0;15;29;299;25;0;1;6
37;29;465;115;1;14;63;273;72;0;3;5
34;25;189;384;0;16;25;234;40;1;5;5
23;26;699;239;0;16;22;178;7;1;1;4
26;22;440;440;1;12;62;67;75;1;5;5
32;21;178;233;0;14;63;175;28;1;2;5
24;13;512;200;0;10;31;237;52;1;4;5
25;27;604;455;1;14;35;281;33;1;3;5
39;11;670;489;0;14;80;77;28;0;4;5
38;24;297;492;0;16;24;224;7;0;5;6
23;27;83;433;1;14;25;71;35;1;2;6
31;21;354;358;0;14;44;74;97;0;1;5
36;20;654;119;1;12;80;224;9;1;3;6
20;24;86;205;0;15;65;284;17;0;1;5
33;15;548;82;0;12;57;292;41;1;2;5
23;25;445;389;1;15;70;218;30;1;2;5
25;9;179;20;1;10;45;241;63;1;4;5
28;16;483;436;1;10;78;160;44;1;2;6
28;15;529;148;0;16;41;87;44;0;5;5
31;17;119;326;0;16;28;108;99;1;1;5
26;20;333;141;0;15;42;103;30;0;3;7
37;27;646;469;1;12;29;128;54;1;1;5
31;29;646;427;0;11;21;295;51;0;4;5
38;29;674;43;0;11;50;178;71;1;4;5
35;27;358;193;1;16;33;125;8;1;1;5
34;17;156;11;0;15;28;201;24;0;3;5
